ADM2_EN,county,Sub_County,Ward,Latitude,Longitude,Report_Dat,Disease_Co,Species_Af,Number_at_,Number_Sick,Number_Dea,Number_Sla,Number_Des,Number_Hum,Number_Vac,Incidence
Ikolomani,Kakamega,Ikolomani,Idakho East,0.1486952,34.7452464,9/9/2024,Rabies,Dogs,5,1,0,0,0,1,0,0.166666667
Ikolomani,Kakamega,Ikolomani,Idakho East,0.1486952,34.7452464,9/9/2024,Rabies,Dogs,1,1,0,0,0,1,0,0.5
Isiolo North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isiolo South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jomvu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kabete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kabondo Kasipul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kabuchai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kacheliba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaiti,Makueni,Kaiti,Ilima,-1.852986,37.4439599,1/5/2024,Rabies,Dogs,1,2,0,0,2,0,1,0.666666667
Kaiti,Makueni,Kaiti,Ukia,-1.804066667,37.49919,11/5/2024,Rabies,Cattle,0,1,0,1,1,0,2,1
Kaiti,Makueni,Makueni,Wote,-1.7803587,37.4739748,3/6/2024,Rabies,Dogs,20,1,5,0,3,0,0,0.047619048
Kaiti,Makueni,Kaiti,Ukia,-1.741553333,37.57633333,12/9/2024,Rabies,Dogs,2,0,1,0,0,0,0,0
Kaiti,Makueni,Kaiti,Ukia,-1.78926,37.47045833,11/27/2024,Rabies,Cattle,0,0,0,0,0,0,0,0
Kajiado Central,Kajiado,Kajiado Central,Ildamat,-1.839145,36.78436667,5/28/2024,Rabies,Dogs,10,1,0,0,0,0,0,0.090909091
Kajiado East,Kajiado,Kajiado North,Oloolua,-1.4315082,36.7332906,1/9/2024,Rabies,Dogs,3,1,0,0,0,0,0,0.25
Kajiado North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kajiado South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kajiado West,Kajiado,Kajiado West,Magadi,-1.8941133,36.5870287,8/27/2024,Rabies,Dogs,1,1,0,0,0,0,1,0.5
Kaloleni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamukunji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kanduyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kangema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kangundo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
